time_fs,S0,S1,S2,S3,T1_m-1,T2_m-1,T3_m-1,T1_m0,T2_m0,T3_m0,T1_m+1,T2_m+1,T3_m+1
38.5,0.0018792989290771726,0.9975417063927791,0.0005786599032983627,1.385814214494077e-07,5.685503165105252e-09,1.5438925671472964e-09,6.223394361377245e-09,1.4588289351224378e-07,1.0689202339908198e-08,9.960780955592707e-09,7.22987114865453e-09,1.7686853251865137e-09,7.2091877293574155e-09
39.0,0.0011769521741189356,0.9985133819108939,0.0003093789484751749,4.57360307300448e-08,8.94318962730989e-09,2.2690190558041264e-09,5.8558748705296156e-09,1.8563106804178007e-07,1.4921494478084937e-08,8.843353575494391e-09,7.061200504067295e-09,2.2221436337818302e-09,5.483056958099589e-09
39.5,0.0005143116966869236,0.9993674873930175,0.00011767109645445794,9.984677399538499e-08,1.642420621459708e-08,2.6163099553263343e-09,4.719312558530678e-09,3.5167111003260174e-07,2.461314342081552e-08,1.0056732634662282e-08,1.2897371507575433e-08,2.5215313281525525e-09,4.447290929123055e-09
40.0,5.636238601529374e-05,0.9999153284512615,2.7438322755788828e-05,5.855364247377785e-07,9.716607533708799e-09,2.6866642966231448e-09,2.6967166118067123e-09,2.1819991566126702e-07,3.077420113373078e-08,1.0566696924483399e-08,5.3351164888401476e-09,2.668904681131641e-09,2.6587782434897532e-09
40.5,4.304067776543255e-05,0.9999534761800951,1.8640069716541835e-06,1.423786640920545e-06,4.989479048392534e-09,1.4189190810712032e-09,1.8861404259592423e-08,1.0739735210058871e-07,3.289548479023401e-08,9.153636547929616e-09,5.203518878166413e-10,1.6560615174167688e-09,1.845570618913329e-08
41.0,8.03393872647152e-06,0.9999875117189075,2.2044641263557673e-06,1.985895252428242e-06,3.5935785952662744e-09,2.543291061279614e-09,3.3594599755182076e-08,1.4601599421823328e-07,3.3495500172793626e-08,5.532135803380589e-09,4.049785109940531e-09,2.109915001629004e-09,3.3048238179286444e-08
41.5,1.1529013433347753e-06,0.9999817344936164,1.4803385828949526e-05,1.964962416909379e-06,5.813201730355042e-09,2.4629800990660917e-09,3.962232748051991e-08,2.0487611022041673e-07,3.608234953392196e-08,6.366385329772989e-09,6.762123824077597e-09,2.2440253321096367e-09,4.00272672878648e-08
42.0,1.3246659657958411e-06,0.9999607779589343,3.6034887601848236e-05,1.5247140959428804e-06,8.97833743143916e-09,1.740473107300627e-09,4.7040028071416735e-08,1.8081717750554524e-07,3.5781437267648467e-08,7.630808696921453e-09,6.436478574853691e-09,1.3813248382571499e-09,4.796722080039708e-08
42.5,1.9923443965629426e-07,0.9999367738800505,6.17641573035151e-05,9.288122437513338e-07,1.1784705591030793e-08,1.5854641265791017e-09,5.22230521697006e-08,1.5942344507973855e-07,3.41009094482599e-08,9.581871794875939e-09,1.0370838916454305e-08,1.1837949328700542e-09,5.366194600322878e-08
43.0,2.0306024277271156e-06,0.9999501859452741,2.5733630757217184e-05,2.177531944312685e-05,1.7023854644198365e-08,2.8535264429773907e-09,4.6213964590046216e-08,9.531857525777301e-08,2.1698696847849927e-08,1.0580161177324349e-08,2.3833650710157367e-08,3.583945019294621e-09,5.339557546390436e-08
43.5,6.755795979102298e-07,0.9998098186967047,0.0001600715274857407,2.9164553318473966e-05,3.20290950492002e-08,6.4031483373320685e-09,4.962647567310817e-08,6.73091697649924e-08,1.6608757273399126e-08,1.2644133645059159e-08,2.9146614433981465e-08,5.974612050929748e-09,4.9901102849892885e-08
44.0,1.2388146700021665e-07,0.999911618245353,7.018561503429082e-05,1.774745803274244e-05,3.75184681523758e-08,1.3702498467410966e-08,4.1682405763180016e-08,1.0329824908591685e-07,2.6562139927018137e-08,1.3760225579004448e-08,3.0060218608102445e-08,1.3530899519783275e-08,4.4685016937867203e-08
44.5,2.658076639792647e-06,0.9999192692438859,5.483434516337555e-05,2.2863995929628617e-05,4.3560122521125685e-08,2.2661826528195775e-08,3.244914111323659e-08,1.2773500745334998e-07,3.499118579370055e-08,1.3955725615590888e-08,4.1025142475938354e-08,2.3807343305434915e-08,3.415288439800842e-08
45.0,1.143375678109297e-05,0.9999337174563265,2.3344334033490723e-05,3.109417567745956e-05,5.4265561010548154e-08,3.070971833300363e-08,2.128549067876911e-08,1.4108514996275219e-07,4.38369793821103e-08,1.318941308718113e-08,5.055865713139293e-08,3.22711062009695e-08,2.3074904523505013e-08
45.5,3.878856497344542e-05,0.9999209081445827,5.247390014565259e-06,3.459730410272904e-05,6.412094620630632e-08,3.536642859295837e-08,1.1923310840974941e-08,1.6992066252902075e-07,5.755882927775964e-08,1.1240471494043095e-08,5.754932173228522e-08,3.772840982078941e-08,1.3187961029425173e-08
46.0,0.00010126508727265584,0.9998655062122976,2.2429940136644055e-07,3.249819491406277e-05,7.170529978578769e-08,3.502710100850558e-08,5.361472511086908e-09,2.0363817086705627e-07,7.186827455806179e-08,8.346591389520497e-09,6.525825946179159e-08,3.87862239608231e-08,6.2148936357823664e-09
